tract_geoid,tract_name,county_geoid,county_name,county_full_name,health_ins_total,health_ins_pct,acs_health_score
37085070901,"Census Tract 709.01, Harnett County, North Carolina",37085,Harnett,Harnett County,418,0.14,0.4643326432299501
37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,325,0.08,-0.5258326597717404
37027030100,"Census Tract 301, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,1014,0.19,1.2894703957313585
37031970503,"Census Tract 9705.03, Carteret County, North Carolina",37031,Carteret,Carteret County,233,0.1,-0.1957775587711769
37031980100,"Census Tract 9801, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,-1.846053063773994
37035010600,"Census Tract 106, Catawba County, North Carolina",37035,Catawba,Catawba County,468,0.08,-0.5258326597717404
37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001,Alamance,Alamance County,717,0.17,0.9594152947307952
37001021000,"Census Tract 210, Alamance County, North Carolina",37001,Alamance,Alamance County,736,0.2,1.4544979462316403
37013930200,"Census Tract 9302, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,888,0.14,0.4643326432299501
37013930800,"Census Tract 9308, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,289,0.11,-0.03075000827089525
37015960300,"Census Tract 9603, Bertie County, North Carolina",37015,Bertie,Bertie County,359,0.11,-0.03075000827089525
37071032600,"Census Tract 326, Gaston County, North Carolina",37071,Gaston,Gaston County,195,0.05,-1.0209153112725855
37071032900,"Census Tract 329, Gaston County, North Carolina",37071,Gaston,Gaston County,453,0.11,-0.03075000827089525
37073970200,"Census Tract 9702, Gates County, North Carolina",37073,Gates,Gates County,424,0.1,-0.1957775587711769
37075920100,"Census Tract 9201, Graham County, North Carolina",37075,Graham,Graham County,334,0.14,0.4643326432299501
37081010100,"Census Tract 101, Guilford County, North Carolina",37081,Guilford,Guilford County,398,0.2,1.4544979462316403
37081010401,"Census Tract 104.01, Guilford County, North Carolina",37081,Guilford,Guilford County,160,0.1,-0.1957775587711769
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,749,0.16,0.7943877442305134
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,162,0.15,0.6293601937302316
37067000700,"Census Tract 7, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,279,0.14,0.4643326432299501
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,362,0.19,1.2894703957313585
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,65,0.02,-1.5159979627734306
37067003908,"Census Tract 39.08, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,35,0.01,-1.6810255132737124
37081012612,"Census Tract 126.12, Guilford County, North Carolina",37081,Guilford,Guilford County,800,0.12,0.1342775422293864
37081014408,"Census Tract 144.08, Guilford County, North Carolina",37081,Guilford,Guilford County,446,0.19,1.2894703957313585
37071030203,"Census Tract 302.03, Gaston County, North Carolina",37071,Gaston,Gaston County,375,0.16,0.7943877442305134
37071031900,"Census Tract 319, Gaston County, North Carolina",37071,Gaston,Gaston County,411,0.17,0.9594152947307952
37085070902,"Census Tract 709.02, Harnett County, North Carolina",37085,Harnett,Harnett County,562,0.19,1.2894703957313585
37087920102,"Census Tract 9201.02, Haywood County, North Carolina",37087,Haywood,Haywood County,333,0.09,-0.36080510927145876
37155960900,"Census Tract 9609, Robeson County, North Carolina",37155,Robeson,Robeson County,281,0.13,0.29930509272966827
37157040300,"Census Tract 403, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,328,0.1,-0.1957775587711769
37159051202,"Census Tract 512.02, Rowan County, North Carolina",37159,Rowan,Rowan County,480,0.14,0.4643326432299501
37049960403,"Census Tract 9604.03, Craven County, North Carolina",37049,Craven,Craven County,236,0.06,-0.8558877607723039
37051000702,"Census Tract 7.02, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,188,0.09,-0.36080510927145876
37051002100,"Census Tract 21, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,474,0.13,0.29930509272966827
37051003309,"Census Tract 33.09, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,670,0.11,-0.03075000827089525
37051003407,"Census Tract 34.07, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,0,0,-1.846053063773994
37055970502,"Census Tract 9705.02, Dare County, North Carolina",37055,Dare,Dare County,634,0.17,0.9594152947307952
37055990100,"Census Tract 9901, Dare County, North Carolina",37055,Dare,Dare County,0,0,-1.846053063773994
37057061300,"Census Tract 613, Davidson County, North Carolina",37057,Davidson,Davidson County,216,0.11,-0.03075000827089525
37063000102,"Census Tract 1.02, Durham County, North Carolina",37063,Durham,Durham County,1278,0.31,3.269801001734739
37063000301,"Census Tract 3.01, Durham County, North Carolina",37063,Durham,Durham County,296,0.12,0.1342775422293864
37149920303,"Census Tract 9203.03, Polk County, North Carolina",37149,Polk,Polk County,208,0.11,-0.03075000827089525
37153970900,"Census Tract 9709, Richmond County, North Carolina",37153,Richmond,Richmond County,438,0.09,-0.36080510927145876
