tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_pov_total,acs_pov_rate,acs_pov_score
37085070901,"Census Tract 709.01, Harnett County, North Carolina",37085,Harnett,Harnett County,124,0.04,-1.103628280332732
37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,1138,0.28,1.068092529794956
37027030100,"Census Tract 301, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,1697,0.32,1.4300459981495703
37031970503,"Census Tract 9705.03, Carteret County, North Carolina",37031,Carteret,Carteret County,339,0.15,-0.10825624235754192
37031980100,"Census Tract 9801, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,-1.4655817486873468
37035010600,"Census Tract 106, Catawba County, North Carolina",37035,Catawba,Catawba County,977,0.17,0.07272049181976556
37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001,Alamance,Alamance County,1107,0.26,0.8871157956176485
37001021000,"Census Tract 210, Alamance County, North Carolina",37001,Alamance,Alamance County,1511,0.41,2.244441301947453
37013930200,"Census Tract 9302, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,1044,0.16,-0.017767875268888178
37013930800,"Census Tract 9308, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,490,0.18,0.16320885890841905
37015960300,"Census Tract 9603, Bertie County, North Carolina",37015,Bertie,Bertie County,658,0.2,0.34418559308572655
37071032600,"Census Tract 326, Gaston County, North Carolina",37071,Gaston,Gaston County,189,0.05,-1.0131399132440784
37071032900,"Census Tract 329, Gaston County, North Carolina",37071,Gaston,Gaston County,802,0.19,0.2536972259970728
37073970200,"Census Tract 9702, Gates County, North Carolina",37073,Gates,Gates County,330,0.08,-0.7416748119781175
37075920100,"Census Tract 9201, Graham County, North Carolina",37075,Graham,Graham County,291,0.12,-0.3797213436235029
37081010100,"Census Tract 101, Guilford County, North Carolina",37081,Guilford,Guilford County,474,0.24,0.706139061440341
37081010401,"Census Tract 104.01, Guilford County, North Carolina",37081,Guilford,Guilford County,171,0.11,-0.4702097107121565
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,1195,0.25,0.7966274285289947
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,256,0.24,0.706139061440341
37067000700,"Census Tract 7, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,910,0.46,2.6968831373907216
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,592,0.3,1.249069263972263
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,230,0.08,-0.7416748119781175
37067003908,"Census Tract 39.08, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,161,0.05,-1.0131399132440784
37081012612,"Census Tract 126.12, Guilford County, North Carolina",37081,Guilford,Guilford County,1383,0.2,0.34418559308572655
37081014408,"Census Tract 144.08, Guilford County, North Carolina",37081,Guilford,Guilford County,627,0.27,0.9776041627063022
37071030203,"Census Tract 302.03, Gaston County, North Carolina",37071,Gaston,Gaston County,345,0.15,-0.10825624235754192
37071031900,"Census Tract 319, Gaston County, North Carolina",37071,Gaston,Gaston County,1049,0.44,2.5159064032134144
37085070902,"Census Tract 709.02, Harnett County, North Carolina",37085,Harnett,Harnett County,313,0.11,-0.4702097107121565
