tract_geoid,tract_name,county_geoid,county_name,county_full_name,school_total,school_age,acs_pov_score
37085070901,"Census Tract 709.01, Harnett County, North Carolina",37085,Harnett,Harnett County,724,0.24,1.0843879504027958
37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,1015,0.27,1.6176735854589883
37027030100,"Census Tract 301, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,947,0.19,0.19557855864247572
37031970503,"Census Tract 9705.03, Carteret County, North Carolina",37031,Carteret,Carteret County,267,0.12,-1.0487545898219728
37031980100,"Census Tract 9801, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,-3.181897130046741
37035010600,"Census Tract 106, Catawba County, North Carolina",37035,Catawba,Catawba County,1224,0.21,0.5511023153466037
37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001,Alamance,Alamance County,871,0.22,0.7288641936986678
37001021000,"Census Tract 210, Alamance County, North Carolina",37001,Alamance,Alamance County,882,0.25,1.26214982875486
37013930200,"Census Tract 9302, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,1111,0.18,0.017816680290411512
37013930800,"Census Tract 9308, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,371,0.14,-0.6932308331178443
37015960300,"Census Tract 9603, Bertie County, North Carolina",37015,Bertie,Bertie County,611,0.19,0.19557855864247572
37071032600,"Census Tract 326, Gaston County, North Carolina",37071,Gaston,Gaston County,760,0.2,0.37334043699453995
37071032900,"Census Tract 329, Gaston County, North Carolina",37071,Gaston,Gaston County,809,0.21,0.5511023153466037
37073970200,"Census Tract 9702, Gates County, North Carolina",37073,Gates,Gates County,807,0.2,0.37334043699453995
37075920100,"Census Tract 9201, Graham County, North Carolina",37075,Graham,Graham County,360,0.16,-0.3377070764137164
37081010100,"Census Tract 101, Guilford County, North Carolina",37081,Guilford,Guilford County,432,0.23,0.9066260720507321
37081010401,"Census Tract 104.01, Guilford County, North Carolina",37081,Guilford,Guilford County,195,0.13,-0.8709927114699085
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,886,0.2,0.37334043699453995
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,309,0.21,0.5511023153466037
