tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_unemp_total,acs_unemp_rate,acs_unemp_score
37085070901,"Census Tract 709.01, Harnett County, North Carolina",37085,Harnett,Harnett County,55,0.02,-0.7711509560182648
37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,176,0.06,0.8690393041174824
37027030100,"Census Tract 301, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,148,0.04,0.048944174049608914
37031970503,"Census Tract 9705.03, Carteret County, North Carolina",37031,Carteret,Carteret County,124,0.06,0.8690393041174824
37031980100,"Census Tract 9801, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,-1.5912460860861384
37035010600,"Census Tract 106, Catawba County, North Carolina",37035,Catawba,Catawba County,108,0.02,-0.7711509560182648
37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001,Alamance,Alamance County,257,0.08,1.6891344341853562
37001021000,"Census Tract 210, Alamance County, North Carolina",37001,Alamance,Alamance County,149,0.05,0.45899173908354585
37013930200,"Census Tract 9302, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,431,0.08,1.6891344341853562
37013930800,"Census Tract 9308, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,47,0.02,-0.7711509560182648
37015960300,"Census Tract 9603, Bertie County, North Carolina",37015,Bertie,Bertie County,204,0.08,1.6891344341853562
37071032600,"Census Tract 326, Gaston County, North Carolina",37071,Gaston,Gaston County,41,0.01,-1.1811985210522016
37071032900,"Census Tract 329, Gaston County, North Carolina",37071,Gaston,Gaston County,207,0.07,1.2790868691514197
37073970200,"Census Tract 9702, Gates County, North Carolina",37073,Gates,Gates County,122,0.04,0.048944174049608914
37075920100,"Census Tract 9201, Graham County, North Carolina",37075,Graham,Graham County,56,0.03,-0.36110339098432803
37081010100,"Census Tract 101, Guilford County, North Carolina",37081,Guilford,Guilford County,33,0.02,-0.7711509560182648
37081010401,"Census Tract 104.01, Guilford County, North Carolina",37081,Guilford,Guilford County,16,0.01,-1.1811985210522016
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,184,0.05,0.45899173908354585
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,24,0.02,-0.7711509560182648
37067000700,"Census Tract 7, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,71,0.05,0.45899173908354585
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,40,0.02,-0.7711509560182648
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,89,0.04,0.048944174049608914
37067003908,"Census Tract 39.08, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,54,0.02,-0.7711509560182648
