tract_geoid,tract_name,county_geoid,county_name,county_full_name,white_alone_total,white_alone_pct,white_alone_score
37085070901,"Census Tract 709.01, Harnett County, North Carolina",37085,Harnett,Harnett County,2309,0.74,-0.23455845421899482
37025042102,"Census Tract 421.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,2873,0.71,-0.111778850003408
37027030100,"Census Tract 301, Caldwell County, North Carolina",37027,Caldwell,Caldwell County,3239,0.6,0.33841303212040996
37031970503,"Census Tract 9705.03, Carteret County, North Carolina",37031,Carteret,Carteret County,1713,0.73,-0.19363191948046587
37031980100,"Census Tract 9801, Carteret County, North Carolina",37031,Carteret,Carteret County,0,0,2.794005116432144
37035010600,"Census Tract 106, Catawba County, North Carolina",37035,Catawba,Catawba County,4548,0.77,-0.35733805843458166
37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001,Alamance,Alamance County,1856,0.44,0.9932375879368724
37001021000,"Census Tract 210, Alamance County, North Carolina",37001,Alamance,Alamance County,1680,0.45,0.9523110531983434
37013930200,"Census Tract 9302, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,4866,0.76,-0.31641152369605274
37013930800,"Census Tract 9308, Beaufort County, North Carolina",37013,Beaufort,Beaufort County,1461,0.54,0.5839722405515831
37015960300,"Census Tract 9603, Bertie County, North Carolina",37015,Bertie,Bertie County,566,0.17,2.0982540258771527
37071032600,"Census Tract 326, Gaston County, North Carolina",37071,Gaston,Gaston County,3094,0.79,-0.43919112791163956
37071032900,"Census Tract 329, Gaston County, North Carolina",37071,Gaston,Gaston County,2469,0.59,0.3793395668589389
37073970200,"Census Tract 9702, Gates County, North Carolina",37073,Gates,Gates County,2515,0.61,0.297486497381881
37075920100,"Census Tract 9201, Graham County, North Carolina",37075,Graham,Graham County,2258,0.97,-1.1758687532051597
37081010100,"Census Tract 101, Guilford County, North Carolina",37081,Guilford,Guilford County,561,0.29,1.6071356090148061
37081010401,"Census Tract 104.01, Guilford County, North Carolina",37081,Guilford,Guilford County,1458,0.95,-1.0940156837281019
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,1238,0.26,1.7299152132303928
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,405,0.25,1.7708417479689218
37067000700,"Census Tract 7, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,464,0.24,1.8117682827074506
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,1380,0.71,-0.111778850003408
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,2600,0.94,-1.0530891489895728
37067003908,"Census Tract 39.08, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,2729,0.92,-0.9712360795125154
37081012612,"Census Tract 126.12, Guilford County, North Carolina",37081,Guilford,Guilford County,1638,0.24,1.8117682827074506
37081014408,"Census Tract 144.08, Guilford County, North Carolina",37081,Guilford,Guilford County,884,0.38,1.238796796368046
37071030203,"Census Tract 302.03, Gaston County, North Carolina",37071,Gaston,Gaston County,2274,0.96,-1.1349422184666307
37071031900,"Census Tract 319, Gaston County, North Carolina",37071,Gaston,Gaston County,631,0.26,1.7299152132303928
37085070902,"Census Tract 709.02, Harnett County, North Carolina",37085,Harnett,Harnett County,2439,0.82,-0.5619707321272259
37087920102,"Census Tract 9201.02, Haywood County, North Carolina",37087,Haywood,Haywood County,3611,1,-1.2986483574207466
