name,namelsad,geoid,cases_per,cases_per_score
Alamance,Alamance County,37001,390,0.6373827620022645
Alexander,Alexander County,37003,388,0.6161826036120346
Alleghany,Alleghany County,37005,336,0.06497848546605486
Anson,Anson County,37007,354,0.25577991097812475
Ashe,Ashe County,37009,261,-0.7300274541675696
Avery,Avery County,37011,492,1.718590839903994
Beaufort,Beaufort County,37013,345,0.16037919822208982
Bertie,Bertie County,37015,449,1.2627874345140493
Bladen,Bladen County,37017,386,0.5949824452218045
Brunswick,Brunswick County,37019,193,-1.4508328394353893
Buncombe,Buncombe County,37021,198,-1.3978324434598144
Burke,Burke County,37023,392,0.6585829203924946
Cabarrus,Cabarrus County,37025,294,-0.3802248407287749
Caldwell,Caldwell County,37027,398,0.7221833955631844
Camden,Camden County,37029,155,-1.853635848849759
Carteret,Carteret County,37031,229,-1.0692299884112495
Caswell,Caswell County,37033,349,0.2027795150025498
Catawba,Catawba County,37035,392,0.6585829203924946
Chatham,Chatham County,37037,304,-0.27422404877762496
Cherokee,Cherokee County,37039,313,-0.17882333602159
Chowan,Chowan County,37041,420,0.9553851378557143
Clay,Clay County,37043,244,-0.9102288004845246
Cleveland,Cleveland County,37045,409,0.8387842667094494
Columbus,Columbus County,37047,451,1.2839875929042792
Craven,Craven County,37049,286,-0.4650254742896948
Cumberland,Cumberland County,37051,264,-0.6982272165822248
Currituck,Currituck County,37053,110,-2.330639412629934
Dare,Dare County,37055,159,-1.811235532069299
Davidson,Davidson County,37057,291,-0.4120250783141199
Davie,Davie County,37059,262,-0.7194273749724547
Duplin,Duplin County,37061,547,2.3015951956353184
Durham,Durham County,37063,334,0.04377832707582488
Edgecombe,Edgecombe County,37065,467,1.453588860026119
Forsyth,Forsyth County,37067,316,-0.147023098436245
Franklin,Franklin County,37069,263,-0.7088272957773397
Gaston,Gaston County,37071,425,1.0083855338312893
Gates,Gates County,37073,170,-1.694634660923034
Graham,Graham County,37075,317,-0.13642301924113
Granville,Granville County,37077,397,0.7115833163680695
Greene,Greene County,37079,543,2.2591948788548586
Guilford,Guilford County,37081,285,-0.47562555348480984
Halifax,Halifax County,37083,372,0.44658133649019466
Harnett,Harnett County,37085,272,-0.6134265830213047
Haywood,Haywood County,37087,160,-1.8006354528741841
Henderson,Henderson County,37089,253,-0.8148280877284897
Hertford,Hertford County,37091,397,0.7115833163680695
Hoke,Hoke County,37093,340,0.10737880224651485
Hyde,Hyde County,37095,368,0.4041810197097347
Iredell,Iredell County,37097,278,-0.5498261078506148
Jackson,Jackson County,37099,303,-0.2848241279727399
Johnston,Johnston County,37101,340,0.10737880224651485
Jones,Jones County,37103,262,-0.7194273749724547
Lee,Lee County,37105,385,0.5843823660266896
Lenoir,Lenoir County,37107,351,0.22397967339277977
Lincoln,Lincoln County,37109,368,0.4041810197097347
Macon,Macon County,37113,252,-0.8254281669236047
Madison,Madison County,37115,210,-1.2706314931184344
Martin,Martin County,37117,349,0.2027795150025498
McDowell,McDowell County,37111,371,0.43598125729507964
Mecklenburg,Mecklenburg County,37119,367,0.39358094051461967
Mitchell,Mitchell County,37121,315,-0.15762317763136002
Montgomery,Montgomery County,37123,494,1.739790998294224
Moore,Moore County,37125,270,-0.6346267414115347
Nash,Nash County,37127,446,1.2309871969287043
New Hanover,New Hanover County,37129,279,-0.5392260286554998
Northampton,Northampton County,37131,390,0.6373827620022645
Onslow,Onslow County,37133,240,-0.9526291172649846
Orange,Orange County,37135,249,-0.8572284045089497
Pamlico,Pamlico County,37137,293,-0.3908249199238899
Pasquotank,Pasquotank County,37139,256,-0.7830278501431447
Pender,Pender County,37141,285,-0.47562555348480984
Perquimans,Perquimans County,37143,231,-1.0480298300210196
Person,Person County,37145,226,-1.1010302259965945
Pitt,Pitt County,37147,412,0.8705845042947944
Polk,Polk County,37149,219,-1.1752307803623994
Randolph,Randolph County,37151,348,0.1921794358074348
Richmond,Richmond County,37153,392,0.6585829203924946
Robeson,Robeson County,37155,539,2.2167945620743987
Rockingham,Rockingham County,37157,308,-0.23182373199716497
Rowan,Rowan County,37159,368,0.4041810197097347
Rutherford,Rutherford County,37161,329,-0.009222068899750094
Sampson,Sampson County,37163,538,2.2061944828792837
Scotland,Scotland County,37165,535,2.174394245293939
Stanly,Stanly County,37167,448,1.2521873553189342
Stokes,Stokes County,37169,228,-1.0798300676063646
Surry,Surry County,37171,360,0.3193803861488147
Swain,Swain County,37173,255,-0.7936279293382597
Transylvania,Transylvania County,37175,146,-1.949036561605794
Tyrrell,Tyrrell County,37177,343,0.13917903983185984
Union,Union County,37179,302,-0.29542420716785495
Vance,Vance County,37181,355,0.26637999017323977
Wake,Wake County,37183,238,-0.9738292756552146
Warren,Warren County,37185,299,-0.3272244447531999
Washington,Washington County,37187,257,-0.7724277709480296
Watauga,Watauga County,37189,308,-0.23182373199716497
Wayne,Wayne County,37191,444,1.2097870385384741
Wilkes,Wilkes County,37193,363,0.3511806237341597
Wilson,Wilson County,37195,464,1.421788622440774
Yadkin,Yadkin County,37197,364,0.3617807029292747
Yancey,Yancey County,37199,275,-0.5816263454359598
