name,namelsad,geoid,prov_relief_per_capita,prov_relief_total,prov_relief_score
Alamance,Alamance County,37001,246.75018059984058,39622157,1
Alleghany,Alleghany County,37005,350.82065068805247,3849555,1
Ashe,Ashe County,37009,238.06335399089076,6376765,1
Avery,Avery County,37011,270.6427061310782,4736518,1
Beaufort,Beaufort County,37013,279.8865228711132,13222679,1
Bertie,Bertie County,37015,275.017155365506,5402437,1
Buncombe,Buncombe County,37021,293.2071056375111,74613585,1
Carteret,Carteret County,37031,210.70674695298896,14521909,1
Catawba,Catawba County,37035,203.9677341142992,31967659,1
Cherokee,Cherokee County,37039,284.7475422871187,7878395,1
Chowan,Chowan County,37041,429.6059134107709,6102552,1
Columbus,Columbus County,37047,328.97919812410066,18519226,1
Craven,Craven County,37049,205.93873809200443,21228577,1
Dare,Dare County,37055,569.5098346436865,20354851,1
Duplin,Duplin County,37061,339.5956113914192,20057196,1
Durham,Durham County,37063,456.02381410768885,139751690,1
Edgecombe,Edgecombe County,37065,271.5505887647191,14482336,1
Forsyth,Forsyth County,37067,502.7680886393791,186815047,1
Gaston,Gaston County,37071,147.0004293926172,31838088,1
Granville,Granville County,37077,321.7736352209804,18944101,1
Guilford,Guilford County,37081,196.89665038141112,103091542,1
Henderson,Henderson County,37089,221.2743498349835,25142298,1
Hertford,Hertford County,37091,843.2701527760527,20367504,1
Iredell,Iredell County,37097,156.09570207216345,26930411,1
Jackson,Jackson County,37099,227.40510223400227,9609230,1
Lee,Lee County,37105,283.70012474012475,17057470,1
Lenoir,Lenoir County,37107,833.9066874027994,47721978,1
Mecklenburg,Mecklenburg County,37119,442.7951900477467,466845168,1
Moore,Moore County,37125,433.44577481726253,41449986,1
Nash,Nash County,37127,371.8696424582194,34956862,1
New Hanover,New Hanover County,37129,303.39967265899895,68031612,1
Orange,Orange County,37135,750.3739173627727,107256947,1
Pasquotank,Pasquotank County,37139,149.2151776894045,5890866,1
Person,Person County,37145,263.4869355043888,10356354,1
Pitt,Pitt County,37147,308.96085064158945,54801004,1
Polk,Polk County,37149,311.51661941538765,6373007,1
Randolph,Randolph County,37151,145.54932217854196,20807440,1
Robeson,Robeson County,37155,312.78446066455837,41738584,1
Rutherford,Rutherford County,37161,257.8509288763302,17155338,1
Sampson,Sampson County,37163,237.545098409402,15098604,1
Scotland,Scotland County,37165,571.2527933753048,20143516,1
Surry,Surry County,37171,418.7251834283416,30189667,1
Swain,Swain County,37173,701.6436789673074,10001229,1
Transylvania,Transylvania County,37175,233.39414555545608,7821738,1
Vance,Vance County,37181,456.6063576278045,20310764,1
Washington,Washington County,37187,388.8626192826588,4727014,1
Watauga,Watauga County,37189,231.23351257460686,12513664,1
Wayne,Wayne County,37191,282.9441541265463,35085641,1
Wilkes,Wilkes County,37193,187.97833771545427,12868997,1
Wilson,Wilson County,37195,187.11458640700306,15219152,1
Alexander,Alexander County,37003,30.16333952962095,1119633,0
Anson,Anson County,37007,91.18762348850075,2307594,0
