name,namelsad,geoid,hhs_uninsured_per_capita,hhs_uninsured_total,hhs_uninsured_score
Alamance,Alamance County,37001,476.39149686129934,76497041,1
Alleghany,Alleghany County,37005,3.510070172240955,38516,1
Anson,Anson County,37007,5.81241602781949,147089,1
Beaufort,Beaufort County,37013,8.494888131575047,401324,1
Buncombe,Buncombe County,37021,6.947975038707294,1768079,1
Burke,Burke County,37023,4.698089441769217,421475,1
Cabarrus,Cabarrus County,37025,13.427539613200429,2704951,1
Catawba,Catawba County,37035,3.4624287783371295,542663,1
Chatham,Chatham County,37037,4.86357839836082,339434,1
Chowan,Chowan County,37041,16.899894403379093,240063,1
Cleveland,Cleveland County,37045,7.948620302802622,772280,1
Dare,Dare County,37055,5.290534680059316,189089,1
Duplin,Duplin County,37061,10.266651992821103,606369,1
Durham,Durham County,37063,12.647585142450653,3875941,1
Edgecombe,Edgecombe County,37065,7.613890347258682,406064,1
Forsyth,Forsyth County,37067,15.54570434342646,5776364,1
Gaston,Gaston County,37071,3.9940946972320335,865061,1
Granville,Granville County,37077,3.7016339980296906,217930,1
Guilford,Guilford County,37081,5.1646695264543085,2704128,1
Henderson,Henderson County,37089,5.3315379537953795,605796,1
Hertford,Hertford County,37091,9.988117418126112,241243,1
Johnston,Johnston County,37101,4.96700353608269,949552,1
Lee,Lee County,37105,3.929014553014553,236232,1
Lenoir,Lenoir County,37107,3.2397644468520106,185402,1
Lincoln,Lincoln County,37109,5.813202195454378,473433,1
Macon,Macon County,37113,3.582185411217669,123263,1
Mecklenburg,Mecklenburg County,37119,14.841872535127106,15647994,1
Mitchell,Mitchell County,37121,23.396409574468084,351882,1
Nash,Nash County,37127,9.230567109560333,867701,1
New Hanover,New Hanover County,37129,5.573377454500047,1249724,1
Orange,Orange County,37135,25.03219577719011,3578052,1
Pasquotank,Pasquotank County,37139,6.707388738316573,264801,1
Pender,Pender County,37141,5.021941714672992,296395,1
Pitt,Pitt County,37147,15.219346909320524,2699486,1
Robeson,Robeson County,37155,9.396749149443204,1253921,1
Rockingham,Rockingham County,37157,4.528048646871919,413275,1
Rowan,Rowan County,37159,6.181175459331686,862923,1
Sampson,Sampson County,37163,9.28347571624109,590067,1
Scotland,Scotland County,37165,3.7175996823776303,131090,1
Stanly,Stanly County,37167,6.513417547534116,398061,1
Surry,Surry County,37171,3.6300503474389383,261723,1
Union,Union County,37179,5.906274537482245,1338917,1
Wake,Wake County,37183,9.071056740285774,9493387,1
Wayne,Wayne County,37191,5.612796567797294,695998,1
Wilson,Wilson County,37195,5.933227599095112,482585,1
Alexander,Alexander County,37003,0.01206929065976993,448,0
Ashe,Ashe County,37009,1.3924438139326514,37298,0
Avery,Avery County,37011,0.03942631849608594,690,0
Bertie,Bertie County,37015,3.0682651191203423,60273,0
Bladen,Bladen County,37017,0.28527443898395405,9636,0
Brunswick,Brunswick County,37019,2.4099795049661044,305730,0
Caldwell,Caldwell County,37027,2.5806625172721604,211044,0
Camden,Camden County,37029,NA,NA,0
Carteret,Carteret County,37031,0.28370574579222285,19553,0
Caswell,Caswell County,37033,0.226457399103139,5151,0
Cherokee,Cherokee County,37039,0.8514529420268903,23558,0
Clay,Clay County,37043,NA,NA,0
Columbus,Columbus County,37047,2.2663563853409836,127580,0
Craven,Craven County,37049,1.529646301003085,157679,0
Cumberland,Cumberland County,37051,1.5191414789254034,504516,0
Currituck,Currituck County,37053,NA,NA,0
Davidson,Davidson County,37057,3.1319414079580237,515718,0
Davie,Davie County,37059,0.6592365030601796,27682,0
Franklin,Franklin County,37069,0.24909864102801146,16167,0
Gates,Gates County,37073,NA,NA,0
Graham,Graham County,37075,0.057029332710061935,488,0
Greene,Greene County,37079,1.6351389946686976,34351,0
Halifax,Halifax County,37083,3.024779171579334,156493,0
Harnett,Harnett County,37085,0.4157992037495877,54204,0
Haywood,Haywood County,37087,0.27218572634156835,16449,0
Hoke,Hoke County,37093,1.4417814008527583,76759,0
Hyde,Hyde County,37095,0.897645095494159,4841,0
Iredell,Iredell County,37097,1.1580988262570642,199801,0
Jackson,Jackson County,37099,0.5495550927678909,23222,0
Jones,Jones County,37103,NA,NA,0
Madison,Madison County,37115,1.1355290819901893,24306,0
Martin,Martin County,37117,1.4075648477487637,32450,0
McDowell,McDowell County,37111,2.9693852667982,133946,0
Montgomery,Montgomery County,37123,0.30009510571365866,8204,0
Moore,Moore County,37125,2.0729694967007917,198236,0
Northampton,Northampton County,37131,NA,NA,0
Onslow,Onslow County,37133,0.9870198853087999,191395,0
Pamlico,Pamlico County,37137,0.3675247213938157,4683,0
Perquimans,Perquimans County,37143,NA,NA,0
Person,Person County,37145,0.3393461391680448,13338,0
Polk,Polk County,37149,2.188825887183498,44779,0
Randolph,Randolph County,37151,1.080653058940388,154488,0
Richmond,Richmond County,37153,NA,NA,0
Rutherford,Rutherford County,37161,2.630012625503517,174980,0
Stokes,Stokes County,37169,0.27519878008931487,12633,0
Swain,Swain County,37173,0.294654132173425,4200,0
Transylvania,Transylvania County,37175,1.1874496464058724,39795,0
Tyrrell,Tyrrell County,37177,0.04758436513716922,196,0
Vance,Vance County,37181,2.2858234791601095,101678,0
Warren,Warren County,37185,0.7154694753656466,14333,0
Washington,Washington County,37187,3.0624383020730503,37227,0
Watauga,Watauga County,37189,0.25570523125819983,13838,0
Wilkes,Wilkes County,37193,0.960195734735612,65735,0
Yadkin,Yadkin County,37197,1.338430904022302,50412,0
Yancey,Yancey County,37199,NA,NA,0
