name,namelsad,geoid,hospital_crf_per_capita,hospital_crf_total,hospital_crf_score
Alamance,Alamance County,37001,1.173649860502192,188460,-0.8586881592077162
Alexander,Alexander County,37003,0,0,-0.9436510008274388
Alleghany,Alleghany County,37005,38.87852000364531,426614,1.870842187171166
Anson,Anson County,37007,14.147751521378328,358023,0.08053279728737459
Ashe,Ashe County,37009,20.280855670872842,543243,0.524520373162686
Avery,Avery County,37011,28.276555625392835,494868,1.103344954272442
Beaufort,Beaufort County,37013,15.696843976885464,741566,0.19267467314057252
Bertie,Bertie County,37015,23.53319079617186,462286,0.7599633646753363
Bladen,Bladen County,37017,16.890283616555156,570520,0.27907013613203713
Brunswick,Brunswick County,37019,5.790485574649219,734581,-0.5244662632518737
Buncombe,Buncombe County,37021,4.810762592642077,1224214,-0.5953903534365371
Burke,Burke County,37023,16.881264490815052,1514452,0.2784172237280968
Cabarrus,Cabarrus County,37025,2.340246614510941,471438,-0.7742359059585943
Caldwell,Caldwell County,37027,11.355470230743833,928639,-0.12160598450601365
Camden,Camden County,37029,0,0,-0.9436510008274388
Carteret,Carteret County,37031,16.876842716192687,1163152,0.2780971226915258
Caswell,Caswell County,37033,0,0,-0.9436510008274388
Catawba,Catawba County,37035,2.99981496723644,470158,-0.7264884444916628
Chatham,Chatham County,37037,8.13377083004972,567664,-0.3548311951411559
Cherokee,Cherokee County,37039,28.750072285672978,795457,1.1376237646447853
Chowan,Chowan County,37041,46.78289334741288,664551,2.443055453760164
Clay,Clay County,37043,0,0,-0.9436510008274388
Cleveland,Cleveland County,37045,19.958820078428143,1939179,0.5012075777902356
Columbus,Columbus County,37047,13.06800135007905,735637,0.0023675404417640277
Craven,Craven County,37049,26.602074076948448,2742195,0.9821259132419656
Cumberland,Cumberland County,37051,17.237369996326475,5724634,0.30419640769334866
Currituck,Currituck County,37053,0,0,-0.9436510008274388
Dare,Dare County,37055,19.830334909487703,708756,0.49190628152927174
Davidson,Davidson County,37057,1.035253607345868,170469,-0.8687069385160973
Davie,Davie County,37059,1.2808220809221023,53783,-0.8509297495695345
Duplin,Duplin County,37061,10.023297551725305,591996,-0.2180446074264322
Durham,Durham County,37063,11.171306251774311,3423525,-0.1349379802773506
