name,namelsad,geoid,ppp_per_capita,ppp_total,ppp_score
Alamance,Alamance County,37001,351.9773568279195,56519116.05,0.2856561054435234
Alexander,Alexander County,37003,184.38759018292518,6844282.96,-0.9468091089361832
Alleghany,Alleghany County,37005,358.7293666271758,3936337.34,0.33531079123565777
Anson,Anson County,37007,208.20722516399272,5268892.04,-0.7716380819630717
Ashe,Ashe County,37009,295.68833196445905,7920307.66,-0.1282967658109908
Avery,Avery County,37011,274.78660876521343,4809040.44,-0.2820092942032068
Beaufort,Beaufort County,37013,409.238165654171,19333638.66,0.7067555343549207
Bertie,Bertie County,37015,207.7310537568723,4080668.82,-0.7751398751041846
Bladen,Bladen County,37017,564.9306598969744,19082227.83,1.8517274925815794
Brunswick,Brunswick County,37019,346.7291228125493,43986056.52,0.24706027712800435
Buncombe,Buncombe County,37021,547.6222700943908,139355629.56,1.7244405539118919
Burke,Burke County,37023,223.2497520955948,20028181.76,-0.6610144350023268
Cabarrus,Cabarrus County,37025,357.83710108812204,72085568.34,0.32874901684520236
Caldwell,Caldwell County,37027,203.59432996245982,16649740.71,-0.8055615904641092
Camden,Camden County,37029,202.77875658083659,2118429.67,-0.8115593661203873
Carteret,Carteret County,37031,562.0493697040047,38736442.56,1.8305383113656952
Caswell,Caswell County,37033,106.17245054075443,2414998.56,-1.5220079458140072
Catawba,Catawba County,37035,411.102464062171,64431678.09,0.7204656968730814
Chatham,Chatham County,37037,253.34419738934818,17681144.88,-0.4396980759362469
Cherokee,Cherokee County,37039,276.3139536648836,7645054.47,-0.2707771080328467
Chowan,Chowan County,37041,358.75583878915876,5096126.69,0.33550546910559315
Clay,Clay County,37043,385.0574789605105,4163626.52,0.5289293113917959
Cleveland,Cleveland County,37045,283.6498916209512,27559139.82,-0.2168281794872676
Columbus,Columbus County,37047,218.28677206757501,12288017.26,-0.6975124883539532
Craven,Craven County,37049,298.85545003007314,30806617.5,-0.10500558924427708
Cumberland,Cumberland County,37051,216.4395438956237,71880871.165,-0.7110971153304608
Currituck,Currituck County,37053,470.5793812994263,12139065.72,1.1578625202049992
Dare,Dare County,37055,1036.473765703254,37044608.86,5.3194838277155885
Davidson,Davidson County,37057,220.60005313851235,36324887.15,-0.6805004803531743
Davie,Davie County,37059,319.3885227786907,13411443.46,0.045995861581807095
Duplin,Duplin County,37061,276.2500768683756,16315882.04,-0.27124686183272495
Durham,Durham County,37063,395.02202096868405,121057263.48,0.6022091520894322
Edgecombe,Edgecombe County,37065,162.9385252756319,8689837.43,-1.104546821139156
Forsyth,Forsyth County,37067,378.80233337729055,140752719.42,0.48292859490097373
Franklin,Franklin County,37069,241.35658331022157,15664524.97,-0.527855710210113
Gaston,Gaston County,37071,294.7606596024655,63840737.46,-0.13511892410494195
Gates,Gates County,37073,187.0066954942489,2162358.42,-0.9275480510946182
Graham,Graham County,37075,237.11047329671615,2028954.32,-0.5590818583982672
Granville,Granville County,37077,219.5347586370894,12924889.38,-0.6883347201302066
Greene,Greene County,37079,195.6045030464585,4109259.4,-0.8643192577132417
Guilford,Guilford County,37081,433.33705572384076,226887482.31,0.8839802200300569
Halifax,Halifax County,37083,236.63717339621547,12242897.44,-0.5625625343071496
Harnett,Harnett County,37085,153.1816049662092,19968907.205,-1.1762997993881863
Haywood,Haywood County,37087,342.90121109327686,20722548.89,0.21890958432518334
Henderson,Henderson County,37089,408.6991734213421,46438443.58,0.702791753086643
Hertford,Hertford County,37091,282.45558398542624,6822149.72,-0.2256111896048879
Hoke,Hoke County,37093,105.94904186780367,5640621.04,-1.5236509066195187
Hyde,Hyde County,37095,559.0502633042832,3014958.07,1.8084827026857804
Iredell,Iredell County,37097,491.1730156209245,84739624.52,1.309309344477194
Jackson,Jackson County,37099,415.6936645683453,17565551.49,0.754229661280817
Johnston,Johnston County,37101,238.63956463289603,45621202.85,-0.5478368288288715
Jones,Jones County,37103,145.70535224342444,1412613.39,-1.2312806111597205
Lee,Lee County,37105,346.1763452806653,20813852.76,0.24299511794211667
Lenoir,Lenoir County,37107,295.0191589634264,16883061.41,-0.13321790427120406
Lincoln,Lincoln County,37109,372.62442381601403,30346905.7,0.43749587675663754
Macon,Macon County,37113,523.47183347864,18012665.79,1.5468367918394421
Madison,Madison County,37115,184.1022312543798,3940708.26,-0.9489076556439296
Martin,Martin County,37117,277.66955235533965,6401393.86,-0.2608079538052808
McDowell,McDowell County,37111,233.2995956461017,10523911.46,-0.5871072816365999
Mecklenburg,Mecklenburg County,37119,524.7261092141431,553226083.11,1.5560608109677863
Mitchell,Mitchell County,37121,280.4816103723404,4218443.42,-0.2401279101716349
Montgomery,Montgomery County,37123,282.38694637500913,7719894.34,-0.22611595471633075
Moore,Moore County,37125,410.69620920432084,39274467.79,0.7174780742365887
Nash,Nash County,37127,330.7055369509484,31087312.59,0.12922186384419743
