name,namelsad,geoid,tax_sales_change,tax_sales_score
Alamance,Alamance County,37001,0.009990525743159912,1
Anson,Anson County,37007,0.06820833257716179,1
Beaufort,Beaufort County,37013,0.05011217779727441,1
Brunswick,Brunswick County,37019,0.050214453621253825,1
Buncombe,Buncombe County,37021,-0.07092161974256074,1
Burke,Burke County,37023,0.0558710645970681,1
Cabarrus,Cabarrus County,37025,-0.004478586497545508,1
Carteret,Carteret County,37031,-0.03178160700945831,1
Catawba,Catawba County,37035,0.0023921532414230406,1
Cleveland,Cleveland County,37045,0.035917044916873,1
Columbus,Columbus County,37047,0.06144794862661383,1
Craven,Craven County,37049,-0.008998963649986336,1
Cumberland,Cumberland County,37051,0.027163723747582986,1
Dare,Dare County,37055,-0.02928693954216567,1
Duplin,Duplin County,37061,0.021214080839172585,1
Durham,Durham County,37063,-0.03438248478796683,1
Forsyth,Forsyth County,37067,0.01972085054343205,1
Guilford,Guilford County,37081,-0.053031285078081435,1
Halifax,Halifax County,37083,-0.051456733361641,1
Haywood,Haywood County,37087,0.07183376523232776,1
Henderson,Henderson County,37089,0.030914348203107605,1
Hyde,Hyde County,37095,-0.05658291887582176,1
Johnston,Johnston County,37101,0.051561598729886075,1
Jones,Jones County,37103,-0.07501608960512811,1
Lenoir,Lenoir County,37107,0.03634125853962121,1
Macon,Macon County,37113,0.027900752088012414,1
Martin,Martin County,37117,0.06112117942871324,1
Mecklenburg,Mecklenburg County,37119,-0.031907391294286484,1
Mitchell,Mitchell County,37121,0.04646227205623299,1
Montgomery,Montgomery County,37123,0.05662355223254042,1
Moore,Moore County,37125,0.056368323878625934,1
Nash,Nash County,37127,0.016844625152479205,1
New Hanover,New Hanover County,37129,-0.05893783976983172,1
Onslow,Onslow County,37133,0.029326805768701423,1
Orange,Orange County,37135,-0.00500365845817134,1
Pamlico,Pamlico County,37137,0.02128292872886788,1
Person,Person County,37145,0.045795145989909955,1
Pitt,Pitt County,37147,0.03817353882762181,1
Randolph,Randolph County,37151,0.05601981325569745,1
Richmond,Richmond County,37153,0.06221630421506624,1
Robeson,Robeson County,37155,0.020648186125206955,1
Rockingham,Rockingham County,37157,0.06375769144968219,1
Rowan,Rowan County,37159,0.05647628852747232,1
Rutherford,Rutherford County,37161,0.05016136815734276,1
Surry,Surry County,37171,0.06553691729987701,1
Tyrrell,Tyrrell County,37177,0.0645514402931696,1
Wake,Wake County,37183,-0.005791600566705596,1
Washington,Washington County,37187,0.02998848632127985,1
Watauga,Watauga County,37189,-0.0058561264279497855,1
Wayne,Wayne County,37191,0.03701953589091239,1
Alexander,Alexander County,37003,0.20396567670499768,0
Alleghany,Alleghany County,37005,0.11455282328732432,0
Ashe,Ashe County,37009,0.11281448233582965,0
Avery,Avery County,37011,0.11077511987553683,0
Bertie,Bertie County,37015,0.13001333460499018,0
Bladen,Bladen County,37017,0.08233559414613141,0
Caldwell,Caldwell County,37027,0.07497561208539558,0
Camden,Camden County,37029,0.21082305162330162,0
Caswell,Caswell County,37033,0.0929131608011951,0
Chatham,Chatham County,37037,0.16007794987318272,0
Cherokee,Cherokee County,37039,0.10507201386092858,0
Chowan,Chowan County,37041,0.07274010064984086,0
Clay,Clay County,37043,0.20463442288436282,0
Currituck,Currituck County,37053,0.10139732734172191,0
Davidson,Davidson County,37057,0.08278723013435485,0
Davie,Davie County,37059,0.09131934080703319,0
Edgecombe,Edgecombe County,37065,0.17822178988633108,0
Franklin,Franklin County,37069,0.1722398106922251,0
Gaston,Gaston County,37071,0.07293567374430528,0
Gates,Gates County,37073,0.26154379002461137,0
Graham,Graham County,37075,0.07648002517731282,0
Granville,Granville County,37077,0.10381329892524473,0
Greene,Greene County,37079,0.16599509331414686,0
Harnett,Harnett County,37085,0.16803696656840209,0
Hertford,Hertford County,37091,0.07318870426687556,0
Hoke,Hoke County,37093,0.25886834553260907,0
Iredell,Iredell County,37097,0.08096662456103251,0
Jackson,Jackson County,37099,0.12197281587347379,0
Lee,Lee County,37105,0.08842428924211967,0
Lincoln,Lincoln County,37109,0.09872728289188067,0
Madison,Madison County,37115,0.17032382727988205,0
McDowell,McDowell County,37111,0.09748004444254602,0
Northampton,Northampton County,37131,0.08463045410120049,0
Pasquotank,Pasquotank County,37139,0.0844542311031453,0
Pender,Pender County,37141,0.0743080791976386,0
Perquimans,Perquimans County,37143,0.2823550607871093,0
Polk,Polk County,37149,0.08985413660332855,0
Sampson,Sampson County,37163,0.09258994456383113,0
Scotland,Scotland County,37165,0.08827593657238553,0
Stanly,Stanly County,37167,0.1438135802266491,0
Stokes,Stokes County,37169,0.13413914534502808,0
Swain,Swain County,37173,0.11860227496288962,0
Transylvania,Transylvania County,37175,0.07523672475019555,0
Union,Union County,37179,0.11605880444656574,0
Vance,Vance County,37181,0.17774439917217016,0
Warren,Warren County,37185,0.1485256867892826,0
Wilkes,Wilkes County,37193,0.12199186806958309,0
Wilson,Wilson County,37195,0.09919302804200711,0
Yadkin,Yadkin County,37197,0.11569013297250821,0
Yancey,Yancey County,37199,0.09866115546175941,0
