name,namelsad,geoid,unemp_change,unemp_score
Alamance,Alamance County,37001,3.4,0.37003369638397837
Alexander,Alexander County,37003,3.5000000000000004,0.4798359801774444
Alleghany,Alleghany County,37005,2.3,-0.837791425344142
Anson,Anson County,37007,4.7,1.7974633856990299
Ashe,Ashe County,37009,2.0999999999999996,-1.057395992931073
Avery,Avery County,37011,2.0999999999999996,-1.057395992931073
Beaufort,Beaufort County,37013,2.2,-0.947593709137607
Bertie,Bertie County,37015,2,-1.1671982767245381
Bladen,Bladen County,37017,2.4000000000000004,-0.7279891415506758
Brunswick,Brunswick County,37019,3.3,0.2602314125905128
Buncombe,Buncombe County,37021,4.800000000000001,1.9072656694924959
Burke,Burke County,37023,3.3,0.2602314125905128
Cabarrus,Cabarrus County,37025,3.5,0.47983598017744394
Caldwell,Caldwell County,37027,3.9,0.9190451153513057
Camden,Camden County,37029,1.5999999999999996,-1.6064074118984004
Carteret,Carteret County,37031,1.9,-1.2770005605180037
Caswell,Caswell County,37033,3.0999999999999996,0.04062684500358165
Catawba,Catawba County,37035,4,1.0288473991447713
Chatham,Chatham County,37037,2.3000000000000003,-0.8377914253441414
Cherokee,Cherokee County,37039,2.9,-0.17897772258334899
Chowan,Chowan County,37041,1.7000000000000002,-1.4966051281049344
Clay,Clay County,37043,2.5999999999999996,-0.5083845739637457
Cleveland,Cleveland County,37045,3.8,0.8092428315578402
Columbus,Columbus County,37047,3.5999999999999996,0.589638263970909
Craven,Craven County,37049,2.8000000000000003,-0.28878000637681406
Cumberland,Cumberland County,37051,4.800000000000001,1.9072656694924959
Currituck,Currituck County,37053,2.1,-1.0573959929310726
Dare,Dare County,37055,3.3999999999999995,0.3700336963839779
Davidson,Davidson County,37057,3.4000000000000004,0.37003369638397887
Davie,Davie County,37059,3,-0.06917543878988343
Duplin,Duplin County,37061,1.5999999999999996,-1.6064074118984004
Durham,Durham County,37063,3.5999999999999996,0.589638263970909
Edgecombe,Edgecombe County,37065,5.8999999999999995,3.1150907912206147
Forsyth,Forsyth County,37067,4,1.0288473991447713
Franklin,Franklin County,37069,3.1,0.040626845003582136
Gaston,Gaston County,37071,4.300000000000001,1.3582542505251685
Gates,Gates County,37073,1.8000000000000003,-1.3868028443114688
Graham,Graham County,37075,3,-0.06917543878988343
Granville,Granville County,37077,2.5999999999999996,-0.5083845739637457
Greene,Greene County,37079,2.5,-0.6181868577572108
Guilford,Guilford County,37081,4.6000000000000005,1.6876611019055647
Halifax,Halifax County,37083,4.1,1.1386496829382364
Harnett,Harnett County,37085,2.9000000000000004,-0.17897772258334851
Haywood,Haywood County,37087,3.9,0.9190451153513057
Henderson,Henderson County,37089,3.3,0.2602314125905128
Hertford,Hertford County,37091,2.2,-0.947593709137607
Hoke,Hoke County,37093,4.1,1.1386496829382364
Hyde,Hyde County,37095,2,-1.1671982767245381
Iredell,Iredell County,37097,3.5999999999999996,0.589638263970909
Jackson,Jackson County,37099,2.4,-0.7279891415506764
Johnston,Johnston County,37101,2.8999999999999995,-0.17897772258334949
Jones,Jones County,37103,2.2,-0.947593709137607
Lee,Lee County,37105,3.4000000000000004,0.37003369638397887
Lenoir,Lenoir County,37107,2.8000000000000003,-0.28878000637681406
Lincoln,Lincoln County,37109,2.9,-0.17897772258334899
Macon,Macon County,37113,2.5,-0.6181868577572108
Madison,Madison County,37115,2.9000000000000004,-0.17897772258334851
Martin,Martin County,37117,2.5999999999999996,-0.5083845739637457
McDowell,McDowell County,37111,2.5999999999999996,-0.5083845739637457
Mecklenburg,Mecklenburg County,37119,4.5,1.5778588181120987
Mitchell,Mitchell County,37121,3,-0.06917543878988343
Montgomery,Montgomery County,37123,2.8999999999999995,-0.17897772258334949
Moore,Moore County,37125,2.9000000000000004,-0.17897772258334851
Nash,Nash County,37127,4.1,1.1386496829382364
New Hanover,New Hanover County,37129,3.4,0.37003369638397837
Northampton,Northampton County,37131,2.4000000000000004,-0.7279891415506758
Onslow,Onslow County,37133,2.5999999999999996,-0.5083845739637457
Orange,Orange County,37135,2.2,-0.947593709137607
Pamlico,Pamlico County,37137,2.1000000000000005,-1.0573959929310721
Pasquotank,Pasquotank County,37139,2.6,-0.5083845739637453
Pender,Pender County,37141,2.6,-0.5083845739637453
Perquimans,Perquimans County,37143,1.5999999999999996,-1.6064074118984004
Person,Person County,37145,3.1000000000000005,0.04062684500358263
Pitt,Pitt County,37147,3.2,0.1504291287970477
Polk,Polk County,37149,2.1999999999999997,-0.9475937091376075
Randolph,Randolph County,37151,3.4000000000000004,0.37003369638397887
Richmond,Richmond County,37153,4.3,1.3582542505251676
Robeson,Robeson County,37155,4.299999999999999,1.3582542505251665
Rockingham,Rockingham County,37157,3.8000000000000003,0.8092428315578406
Rowan,Rowan County,37159,3.8,0.8092428315578402
Rutherford,Rutherford County,37161,3.9000000000000004,0.9190451153513062
Sampson,Sampson County,37163,2.0000000000000004,-1.1671982767245377
Scotland,Scotland County,37165,6,3.2248930750140805
Stanly,Stanly County,37167,2.3000000000000003,-0.8377914253441414
Stokes,Stokes County,37169,2.8000000000000003,-0.28878000637681406
Surry,Surry County,37171,2.6000000000000005,-0.5083845739637447
Swain,Swain County,37173,2.5999999999999996,-0.5083845739637457
Transylvania,Transylvania County,37175,2.0999999999999996,-1.057395992931073
Tyrrell,Tyrrell County,37177,2.8,-0.28878000637681456
Union,Union County,37179,2.6,-0.5083845739637453
Vance,Vance County,37181,4.699999999999999,1.7974633856990287
Wake,Wake County,37183,3.0999999999999996,0.04062684500358165
Warren,Warren County,37185,4.300000000000001,1.3582542505251685
Washington,Washington County,37187,3.5,0.47983598017744394
Watauga,Watauga County,37189,1.5999999999999996,-1.6064074118984004
Wayne,Wayne County,37191,2.7,-0.39858229017027963
Wilkes,Wilkes County,37193,2.3000000000000003,-0.8377914253441414
Wilson,Wilson County,37195,3.0999999999999996,0.04062684500358165
Yadkin,Yadkin County,37197,3,-0.06917543878988343
Yancey,Yancey County,37199,2.5,-0.6181868577572108
