Month Year,Area Type (table sort),Area,Claim Type,Attribute Category,Attribute,Value
Sep-20,State,North Carolina,Continued Claims,Claims,Total Cont. Weeks Claimed,391394
Sep-20,State,North Carolina,Continued Claims,Claimants,Total Claimants,153101
Sep-20,State,North Carolina,Continued Claims,COVID,COVID-19 Claimants,91227
Sep-20,State,North Carolina,Continued Claims,Gender,Other,312
Sep-20,State,North Carolina,Continued Claims,Gender,Male,71235
Sep-20,State,North Carolina,Continued Claims,Gender,Female,81554
Sep-20,State,North Carolina,Continued Claims,Race,Race Unknown,11404
Sep-20,State,North Carolina,Continued Claims,Race,Other Race,10626
Sep-20,State,North Carolina,Continued Claims,Race,White,65247
Sep-20,State,North Carolina,Continued Claims,Race,Black,65824
Sep-20,State,North Carolina,Continued Claims,Hispanic Origin,Hispanic Origin Unknown,11518
Sep-20,State,North Carolina,Continued Claims,Hispanic Origin,Not Hispanic,131496
Sep-20,State,North Carolina,Continued Claims,Hispanic Origin,Hispanic,10087
Sep-20,State,North Carolina,Continued Claims,Age,65+,8154
Sep-20,State,North Carolina,Continued Claims,Age,60 to 64,9001
Sep-20,State,North Carolina,Continued Claims,Age,55 to 59,12168
Sep-20,State,North Carolina,Continued Claims,Age,45 to 54,27385
Sep-20,State,North Carolina,Continued Claims,Age,35 to 44,33280
Sep-20,State,North Carolina,Continued Claims,Age,25 to 34,43813
Sep-20,State,North Carolina,Continued Claims,Age,Less than 25,19300
Sep-20,State,North Carolina,Continued Claims,Industry,Unclassified / Unknown,28663
Sep-20,State,North Carolina,Continued Claims,Industry,"Trade, Transportation, & Utilities",25145
Sep-20,State,North Carolina,Continued Claims,Industry,Public Administration,1627
Sep-20,State,North Carolina,Continued Claims,Industry,Professional & Business Services,22501
Sep-20,State,North Carolina,Continued Claims,Industry,Other Services,3801
Sep-20,State,North Carolina,Continued Claims,Industry,Natural Resources & Mining,454
Sep-20,State,North Carolina,Continued Claims,Industry,Manufacturing,18963
Sep-20,State,North Carolina,Continued Claims,Industry,Leisure & Hospitality,20699
Sep-20,State,North Carolina,Continued Claims,Industry,Information,1492
Sep-20,State,North Carolina,Continued Claims,Industry,Financial Activities,3317
Sep-20,State,North Carolina,Continued Claims,Industry,Educational  & Health Services,20444
Sep-20,State,North Carolina,Continued Claims,Industry,Construction,6200
Sep-20,State,Out-of-State,Continued Claims,Claims,Total Cont. Weeks Claimed,15727
Sep-20,State,Out-of-State,Continued Claims,Claimants,Total Claimants,6370
Sep-20,State,Out-of-State,Continued Claims,COVID,COVID-19 Claimants,3335
