OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
ACF,93.6,Head Start,90CM009839,Migrant Head Start,9/29/2020,"East Coast Migrant Head Start Project, The",RALEIGH,NC,C3,$0 
NIH,93.31,Trans-NIH Research Support,U24MD016258,RADx-UP CDCC,9/27/2020,Duke University,DURHAM,NC,C4,"$20,162,334 "
NIH,93.855,Allergy and Infectious Diseases Research,R01AI157253,Genetic Analysis of COVID-19 Susceptibility and Resistance Determinants in the Collaborative Cross,9/25/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$748,384 "
SAMHSA,93.829,Section 223 Demonstration Programs to Improve Community Mental Health Services,H79SM083115,Monarch's CCBHC Expansion Project FY2020,9/25/2020,MONARCH,ALBEMARLE,NC,C3,$0 
ACF,93.6,Head Start,90CM009839,Migrant Head Start,9/23/2020,"East Coast Migrant Head Start Project, The",RALEIGH,NC,C3,$0 
CDC,93.268,Immunization Cooperative Agreements,NH23IP922624,CDC-RFA-IP19-1901 Immunization and Vaccines for Children,9/23/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$5,922,744 "
NIH,93.394,Cancer Detection and Diagnosis Research,U54CA260543,North Carolina Seronet Center for Excellence,9/22/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C4,"$3,974,612 "
HRSA,93.914,HIV Emergency Relief Project Grants,U9039765,Special Projects of National Significance,9/21/2020,"Quality Home Care Services, Inc",CHARLOTTE,NC,CV,"($296,696)"
HRSA,93.914,HIV Emergency Relief Project Grants,U9039765,Special Projects of National Significance,9/21/2020,"Quality Home Care Services, Inc",CHARLOTTE,NC,CV,"($30,000)"
CDC,93.084,"Prevention of Disease, Disability, and Death by Infectious Diseases  ",U01CK000587,Multi-scale modeling and phylodynamics for healthcare associated infections,9/20/2020,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,RALEIGH,NC,CV,$0 
ACF,93.6,Head Start,04HP000423,Early Head Start?Child Care Partnership,9/18/2020,CHILD CARE RESOURCES INC.,CHARLOTTE,NC,C3,"$172,246 "
HRSA,93.527,Grants for New and Expanded Services under the Health Center Program,L1C39409,FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing,9/17/2020,"HOT SPRINGS HEALTH PROGRAM, INC",HOT SPRINGS,NC,C4,$0 
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200670,American Red Cross - support the stability of the American Red Cross blood operations and humanitarian services during the COVID-19 pandemic.,9/16/2020,AMERICAN NATIONAL RED CROSS HEADQUARTERS,CHARLOTTE,NC,C3,$0 
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,9/15/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$24,714,967 "
