Month Year,Area Type (table sort),Area,Claim Type,Attribute Category,Attribute,Value
Sep-20,State,North Carolina,Initial Claims,Claimants,Total Claimants,71380
Sep-20,State,North Carolina,Initial Claims,COVID,COVID-19 Claimants,36206
Sep-20,State,North Carolina,Initial Claims,Gender,Other,232
Sep-20,State,North Carolina,Initial Claims,Gender,Male,35706
Sep-20,State,North Carolina,Initial Claims,Gender,Female,35442
Sep-20,State,North Carolina,Initial Claims,Race,Race Unknown,5946
Sep-20,State,North Carolina,Initial Claims,Race,Other Race,4816
Sep-20,State,North Carolina,Initial Claims,Race,White,31682
Sep-20,State,North Carolina,Initial Claims,Race,Black,28936
Sep-20,State,North Carolina,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,6420
Sep-20,State,North Carolina,Initial Claims,Hispanic Origin,Not Hispanic,59993
Sep-20,State,North Carolina,Initial Claims,Hispanic Origin,Hispanic,4967
Sep-20,State,North Carolina,Initial Claims,Age,65+,4041
Sep-20,State,North Carolina,Initial Claims,Age,60 to 64,3925
Sep-20,State,North Carolina,Initial Claims,Age,55 to 59,5344
Sep-20,State,North Carolina,Initial Claims,Age,45 to 54,12105
Sep-20,State,North Carolina,Initial Claims,Age,35 to 44,14561
Sep-20,State,North Carolina,Initial Claims,Age,25 to 34,20145
Sep-20,State,North Carolina,Initial Claims,Age,Less than 25,11259
Sep-20,State,North Carolina,Initial Claims,Industry,Unclassified / Unknown,20259
Sep-20,State,North Carolina,Initial Claims,Industry,"Trade, Transportation, & Utilities",10784
Sep-20,State,North Carolina,Initial Claims,Industry,Public Administration,697
Sep-20,State,North Carolina,Initial Claims,Industry,Professional & Business Services,9140
Sep-20,State,North Carolina,Initial Claims,Industry,Other Services,1636
Sep-20,State,North Carolina,Initial Claims,Industry,Natural Resources & Mining,218
Sep-20,State,North Carolina,Initial Claims,Industry,Manufacturing,7941
Sep-20,State,North Carolina,Initial Claims,Industry,Leisure & Hospitality,8156
Sep-20,State,North Carolina,Initial Claims,Industry,Information,708
Sep-20,State,North Carolina,Initial Claims,Industry,Financial Activities,1777
Sep-20,State,North Carolina,Initial Claims,Industry,Educational  & Health Services,7295
Sep-20,State,North Carolina,Initial Claims,Industry,Construction,2792
Sep-20,State,Out-of-State,Initial Claims,Claimants,Total Claimants,4223
Sep-20,State,Out-of-State,Initial Claims,COVID,COVID-19 Claimants,1874
Sep-20,State,Out-of-State,Initial Claims,Gender,Other,26
Sep-20,State,Out-of-State,Initial Claims,Gender,Male,2454
Sep-20,State,Out-of-State,Initial Claims,Gender,Female,1743
Sep-20,State,Out-of-State,Initial Claims,Race,Race Unknown,449
Sep-20,State,Out-of-State,Initial Claims,Race,Other Race,258
Sep-20,State,Out-of-State,Initial Claims,Race,White,1962
Sep-20,State,Out-of-State,Initial Claims,Race,Black,1554
Sep-20,State,Out-of-State,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,468
Sep-20,State,Out-of-State,Initial Claims,Hispanic Origin,Not Hispanic,3391
Sep-20,State,Out-of-State,Initial Claims,Hispanic Origin,Hispanic,364
Sep-20,State,Out-of-State,Initial Claims,Age,65+,279
Sep-20,State,Out-of-State,Initial Claims,Age,60 to 64,255
Sep-20,State,Out-of-State,Initial Claims,Age,55 to 59,309
Sep-20,State,Out-of-State,Initial Claims,Age,45 to 54,742
Sep-20,State,Out-of-State,Initial Claims,Age,35 to 44,852
Sep-20,State,Out-of-State,Initial Claims,Age,25 to 34,1190
Sep-20,State,Out-of-State,Initial Claims,Age,Less than 25,596
Sep-20,State,Out-of-State,Initial Claims,Industry,Unclassified / Unknown,2106
Sep-20,State,Out-of-State,Initial Claims,Industry,"Trade, Transportation, & Utilities",449
Sep-20,State,Out-of-State,Initial Claims,Industry,Public Administration,16
Sep-20,State,Out-of-State,Initial Claims,Industry,Professional & Business Services,427
Sep-20,State,Out-of-State,Initial Claims,Industry,Other Services,89
Sep-20,State,Out-of-State,Initial Claims,Industry,Natural Resources & Mining,8
Sep-20,State,Out-of-State,Initial Claims,Industry,Manufacturing,294
Sep-20,State,Out-of-State,Initial Claims,Industry,Leisure & Hospitality,280
Sep-20,State,Out-of-State,Initial Claims,Industry,Information,35
