Series ID,Region Name,Region Code,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October
SCABBE1URN,"Abbeville County, SC",45001,4.8,3.9,3.8,2.8,3.1,3.7,3.6,3.4,2.5,3.1,3.0,2.9,3.6,3.7,3.8,13.8,13.9,9.5,8.6,6.2,4.7,4.2
LAACAD0URN,"Acadia Parish, LA",22001,5.8,4.7,4.6,4.2,4.8,6.1,5.8,5.8,5.6,5.5,5.5,5.4,6.2,4.6,7.0,11.3,11.5,8.7,8.6,7.1,7.0,7.9
VAACCO1URN,"Accomack County, VA",51001,5.4,4.7,4.0,3.2,3.1,3.2,3.2,3.3,2.9,2.9,3.0,3.6,4.8,4.3,4.8,10.0,8.9,7.7,7.1,5.9,5.8,4.8
IDADAC1URN,"Ada County, ID",16001,3.2,2.9,2.8,2.4,2.3,2.4,2.5,2.3,2.2,2.2,2.5,2.4,2.8,2.4,2.3,12.2,9.3,5.7,5.1,4.0,5.9,5.2
MOADURN,"Adair County, MO",29001,4.4,4.0,4.5,2.9,4.0,4.9,5.2,4.5,2.9,2.7,3.1,3.3,4.4,3.7,4.0,7.1,6.2,6.6,6.8,5.6,3.0,3.1
OKADAI1URN,"Adair County, OK",40001,4.9,4.5,4.2,3.7,4.1,4.5,4.4,3.9,3.6,3.8,4.0,4.1,4.3,3.8,3.8,10.7,16.4,6.0,6.0,5.4,5.1,5.5
IAADAI1URN,"Adair County, IA",19001,3.1,3.4,3.2,2.3,2.0,2.2,2.1,2.1,1.9,1.7,1.9,2.4,2.9,3.0,3.3,9.1,8.0,5.9,4.9,4.2,3.0,2.2
KYADURN,"Adair County, KY",21001,6.0,6.4,6.1,4.9,5.1,6.0,5.8,5.0,4.4,4.6,4.7,4.8,6.4,5.8,6.7,16.5,10.5,5.2,5.3,8.0,5.5,7.3
MSADAM1URN,"Adams County, MS",28001,7.1,7.0,7.1,6.1,6.5,8.1,8.1,7.6,6.8,6.5,6.6,7.0,6.9,6.5,6.3,17.0,12.0,12.5,13.2,11.2,10.0,10.2
NDADAM1URN,"Adams County, ND",38001,2.5,2.4,2.5,2.0,1.8,2.0,1.8,1.9,1.9,1.9,2.5,2.5,2.7,3.0,2.5,5.1,4.8,4.7,4.6,3.6,3.1,3.1
OHADAM1URN,"Adams County, OH",39001,10.1,8.7,7.8,5.9,5.4,6.5,6.8,6.6,5.8,5.6,6.0,6.6,9.7,8.6,9.1,17.4,12.6,10.7,9.2,9.1,8.4,5.4
PAADAM0URN,"Adams County, PA",42001,3.6,3.5,3.1,2.5,3.0,3.4,3.9,3.6,3.0,3.3,3.2,3.3,3.9,3.8,4.1,14.4,11.4,10.4,9.2,7.2,5.1,4.4
COADAM1URN,"Adams County, CO",08001,3.8,3.6,3.4,2.9,2.7,3.0,2.9,2.8,2.5,2.5,2.5,2.5,3.1,3.2,5.8,12.6,10.8,11.7,8.3,7.5,7.0,7.0
IAADAM3URN,"Adams County, IA",19003,2.3,2.1,2.4,1.6,1.7,1.6,1.8,1.4,1.5,1.5,1.5,1.6,2.4,1.8,2.4,7.1,7.3,5.7,5.3,4.4,3.5,2.6
