Provider Name,City,State,Claims Paid By Treatment,Claims Paid By Testing
ALASKA REGIONAL HOSPIT,ANCHORAGE,AK,"$7,649 ","$37,980 "
ANCHORAGE NEIGHBORHOOD,ANCHORAGE,AK,$296 ,"$3,461 "
DAHL MEMORIAL CLINIC,ANCHORAGE,AK,$0 ,$155 
DAHL MEMORIAL CLINIC,ANCHORAGE,AK,$0 ,$23 
DENALI EMERGENCY MEDIC,ANCHORAGE,AK,"$3,484 ","$33,312 "
EXPRESS CARE AK LLC,ANCHORAGE,AK,$0 ,$205 
EXPRESS CARE AK LLC,ANCHORAGE,AK,$0 ,$588 
EXPRESS CARE AK LLC,ANCHORAGE,AK,$0 ,"$8,331 "
EXPRESS CARE AK LLC,ANCHORAGE,AK,$0 ,"$3,934 "
EXPRESS CARE AK LLC,ANCHORAGE,AK,$0 ,$843 
PROVIDENCE ALASKA MEDI,ANCHORAGE,AK,"$52,274 ","$43,556 "
PROVIDENCE MEDICAL GRO,ANCHORAGE,AK,$70 ,$0 
KETCHIKAN GENERAL HOSP,CRAIG,AK,$0 ,$466 
FAIRBANKS MEMORIAL HOS,FAIRBANKS,AK,$499 ,"$5,572 "
GOLDEN HEART EMERGENCY,FAIRBANKS,AK,$0 ,"$10,637 "
GIRDWOOD HEALTH CLINIC,GIRDWOOD,AK,$0 ,"$1,904 "
BARTLETT REGIONAL HOSP,JUNEAU,AK,$0 ,"$40,868 "
JUNEAU EMERGENCY MEDIC,JUNEAU,AK,$412 ,"$15,281 "
JUNEAU URGENT AND FAMI,JUNEAU,AK,$0 ,"$5,708 "
KETCHIKAN GENERAL HOSP,KETCHIKAN,AK,$0 ,"$7,824 "
NES WASHINGTON INC,KETCHIKAN,AK,$0 ,$732 
NES WASHINGTON INC,KETCHIKAN,AK,$244 ,"$6,635 "
KODIAK ISLAND AMBULATO,KODIAK,AK,"$10,554 ",$0 
NORTON SOUND HEALTH CO,NOME,AK,$0 ,"$5,324 "
MAT SU EMERGENCY MEDIC,PALMER,AK,$0 ,$92 
MAT SU VALLEY III LLC,PALMER,AK,$0 ,$217 
MAT SU VALLEY III LLC,PALMER,AK,$0 ,$398 
MAT SU VALLEY MEDICAL,PALMER,AK,$571 ,"$83,413 "
MAT SU VALLEY MEDICAL,PALMER,AK,$0 ,"$7,816 "
THE PETERSBURG MEDICAL,PETERSBURG,AK,$0 ,"$3,747 "
CITY OF SEWARD,SEWARD,AK,$29 ,$0 
CITY OF SEWARD,SEWARD,AK,$220 ,$0 
